Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
4/6/2016,1,N,N,W,U,U,Suicidal Subject,>/=1,1,W,M,Austin Police Department,"Subject called 911 and stated he had a gun and wanted officers to respond. Subject made several comments that he wanted to shoot police officers but did not want to harm himself or others. Subject was confronted in the roadway by SWAT officers, raised his arm while concealing an object in his hand, pointed it in the direction of the SWAT officers, and was given verbal commands to drop the item but failed to comply. A SWAT officer discharged his weapon striking the subject. Subject was taken into custody, found to be in possession of a edged weapon, and was transported to the hospital to be treated for the inflicted injury.",Austin,"Mental Health, SWAT Team, ""edged weapon"""
2/8/2016,1,F,N,B,M,17,Suspicious Person,>/=2,1,B,M,Austin Police Department,"Officers responded to a call regarding a subject that had jumped over a fence to chase someone. The complainant indicated that the chase had ended and the subject was no longer visible. Shortly thereafter, multiple calls came in regarding a suspicious person that was believed to be related to the original call and was now being described as naked. Upon locating the subject, Ofc exited his vehicle and ordered the subject, who was completely unclothed, to stop as he was walking toward him. The male subject then took off running, charging directly at Ofc while disregarding his repeated commands to stop. Ofc Freeman fired at the subject, who was later pronounced deceased at a local hospital. ",Austin,"Naked suspect, Unarmed, Possible Mental Health"
1/14/2013,1,N,Y,B,M,51,Robbery,NA,2,B;W,M;M,Austin Police Department,,Austin,No Hits
1/23/2015,1,F,Y,W,M,61,Mental crisis / suicide attempt,NA,1,W,M,Austin Police Department,,Austin,
1/25/2014,1,N,N,L,M,22,Traffic stop,NA,1,W,M,Austin Police Department,,Austin,"No Hits, vehicle as weapon"
10/16/2016,1,F,N,W,F,26,Welfare Check,>/=12,2,W;W,M;F,Austin Police Department,"Officers responded to a CIT call of a female having a mental health crisis. As the officers arrived, information was obtained that a weapon was possibly involved. Officers began walking toward the building where the call was originating from when the subject exited a breezeway, walking towards the officers while pointing a firearm at them. The officers gave commands to drop the handgun, to which the subject did not comply. The officers fired at the subject, striking her. The subject continue to attempt to manipulate the firearm in her possession and a single officer fired and additional volley of shots at the subject. The subject was placed into custody, transported to the hospital, where she was pronounced deceased.",Austin,"Mental Health, Toy Gun"
10/18/2013,1,N,Y,W,M,44,Shots fired / shooting,NA,3,W;B;W,M;M;M ,Austin Police Department,,Austin,Ofc. Cecil Jones Fired
10/20/2012,1,N,N,B,F,24,Suspicious activity / patrol,NA,1,W,M,Austin Police Department,,Austin,No Hits; vehicle as weapon
11/28/2014,1,F,Y,W,M,49,Shots fired / shooting,NA,1,W,M,Austin Police Department,,Austin,
12/23/2010,1,F,N,W,M,35,Traffic stop,NA,1,B,M,Austin Police Department,,Austin,"Fired, knife"
12/28/2011,1,N,N,B,M,32,Drug suspicion / drug warrant,NA,1,W,M,Austin Police Department,,Austin,No Hits; vehicle as weapon
3/18/2014,1,N,N,B,M,22,Domestic Disturbance,NA,1,W,M,Austin Police Department,,Austin,BB gun
3/20/2016,1,N,N,B,M,34,Agg. Assault,>/=2,1,W,M,Austin Police Department,"Multiple 911 calls were received regarding a male threatening customers with knives at a grocery store. An additional call was received indicating the same subject had attempted to force entry into a residence nearby . Responding officers searched the area and located the subject behind a nearby business. Subject fled across all lanes of IH35 still wielding the knives. Subject was observed behind another nearby business throwing rocks and bricks at officers. Subject fled again and was located at a school nearby. Subject was noncompliant with responding officers' multiple requests to drop his weapons. Officer fired his shotgun hitting the subject who once again fled. Subject was later located, apprehended and taken to a local hospital and treated for gunshot wound(s) and K9 dog bite. Subject was transported & booked at TCSO a few hours later.",Austin,Knife
4/14/2016,1,N,Y,W,M,18,Warrant Service,>/=3,2,W;W,M;M,Austin Police Department,"APD SWAT team officers arrived at the subject's residence to execute a search warrant. The presence of SWAT team officers was announced over the loud speaker system as officers were entering the residence. Officers entered the subject's residence and the subject, who was standing on the second floor, fired a rifle at officers striking one officer with a non-fatal injury. The subject was later taken into custody and transported to jail where he was subsequently charged and indicted for Attempted Capital Murder.",Austin,"SWAT Team, "
4/22/2016,1,F,N,W,M,29,Disturbance,>/=1,1,H,M,Austin Police Department,"Multiple 911 calls were received, later determined to be from the suspect, regarding a male subject threatening people with knives. Ofc responded to the first call but was unable to locate the described suspect. He later responded to a similar call at a different location where the subject was observed with knives in his hands. The subject charged at Ofc, who fired his firearm, wounding the subject. The subject was transported to the hospital where he was later pronounced deceased.",Austin,Knife
4/23/2013,1,F,Y,W,M,54,Weapons disturbance,NA,4,W;H;W;W,M;M;M;M,Austin Police Department,,Austin,
5/17/2013,1,N,Y,W,M,26,Weapons disturbance,NA,1,W,M,Austin Police Department,,Austin,No Hits
5/24/2015,1,N,Y,B,M,30,Weapons disturbance,NA,2,H;W,F;M,Austin Police Department,,Austin,
5/25/2015,1,F,Y,W,F,31,Mental crisis / suicide attempt,NA,1,W,M,Austin Police Department,,Austin,
5/30/2011,1,F,N,B,U,U,"Suspicious activity / patrol, Vehicle",NA,1,W,M,Austin Police Department,,Austin,
5/30/2011,1,F,N,B,U,U,"Suspicious activity / patrol, Vehicle",NA,1,W,M,Austin Police Department,,Austin,
7/26/2013,1,F,N,B,M,32,Suspicious activity / patrol,NA,1,W,M,Austin Police Department,,Austin,
8/15/2011,1,N,Y,W,M,21,Robbery,NA,2,H;W,M;M,Austin Police Department,,Austin,No Hits
8/31/2013,1,N,N,L,M,46,Burglary / home invasion,NA,1,A,M,Austin Police Department,,Austin,Vehicle as weapon
9/14/2016,1,F,Y,W,M,34,Suspicious Person,>/=20,3,W;W;H,M;M;M,Austin Police Department,"Officers responded to a call regarding a suspicious person looking into cars in an apartment complex. Officers arrived but were unable to locate the subject. Officers later responded to a second call regarding the same subject. The subject was located, but fled and a foot pursuit ensued. The subject did not comply with officer's orders to stop and show his hands and was subsequently tased. The subject fell to the ground but still failied to comply with orders to show his hands, retrieved a concealed handgun and fired multiple rounds at officers. Officers returned fire, striking the subject. While still not complying with verbal commands, less lethal rounds were used to incapacitate the subject and take control of his weapon. Officers then began life saving measures. Subject was transported to the hopsital where he was pronounced deceased.",Austin,
9/25/2010,1,F,Y,W,M,26,Domestic Disturbance,NA,1,H,M,Austin Police Department,,Austin,
9/25/2012,1,F,N,W,M,42,Stolen vehicle,NA,1,W,M,Austin Police Department,,Austin,Vehicle as weapon
2/10/2010,1,N,N,W,U,U,NA,NA,NA,U,U,Baltimore County Police Department,"Suspects involved in an armed robbery, fled from police and stopped. Suspect vehicle struck officer as officer approached car. Officer was knocked 5' into the air and fired weapon at suspect car.",BaltimoreCounty,
2/10/2010,1,N,N,W,U,U,NA,NA,NA,U,U,Baltimore County Police Department,"Suspects involved in an armed robbery, fled from police and stopped. Suspect vehicle struck officer as officer approached car. Officer was knocked 5' into the air and fired weapon at suspect car.",BaltimoreCounty,
6/28/2010,1,N,N,B,M,26,NA,NA,NA,U,U,Baltimore County Police Department,"Officer saw and attempted to stop a stolen car. When officer got out of his car, he was struck by the driver of the stolen car. Officer fired service weapon when he was struck by stolen car.",BaltimoreCounty,
7/21/2010,1,F,Y,B,M,34,NA,NA,NA,U,U,Baltimore County Police Department,Suspect in counterfeiting ring was approached by detectives at Ramada Inn. Suspect pulled handgun and fired at police. Two officers returned fire. Suspect deceased at scene.,BaltimoreCounty,handgun
9/6/2010,1,N,N,B,M,44,NA,NA,NA,U,U,Baltimore County Police Department,"Suspect was chasing and attacking people in the parking lot of a Food Lion store. When the officer arrived, the suspect open the officer's drivers side door and assaulted the officer. The officer was able to pull his service weapon and fire at the suspect. The suspect took the officer's gun away from the officer and attempted to shot the officer but was unable to since the magazine from the gun was ejected. An assisting officer responded. When the second officer arrived, the suspect pointed the weapon at the officer and pulled the trigger. The second officer fired his weapon at the suspect.",BaltimoreCounty,Subject was initially unarmed but stole officer's magazine-less gun.
9/25/2011,1,F,N,W,M,40,NA,NA,NA,U,U,Baltimore County Police Department,Police received call for suicidal person with a knife inside house. Suspect charged towards officers at front door with the knife in his hand. One officer fired service weapon as man was charging with knife. Suspect died at hospital.,BaltimoreCounty,knife
12/15/2011,1,N,Y,W,M,19,NA,NA,NA,U,U,Baltimore County Police Department,"Suspect was wanted for an armed robbery. Suspect led officers in a pursuit. When suspect stopped his car, several officer approached the suspect's car. The suspect placed a gun to his head and then turned the gun and pointed the gun at the police officers. BCoPD and another jurisdiction officer fired their weapons.",BaltimoreCounty,gun
12/19/2011,1,N,Y,B,M,27,NA,NA,NA,U,U,Baltimore County Police Department,"Police received call for armed robbery in progress. Officers saw suspect coming from back of house. Suspect pointed gun of responding officers, one officer fired his service weapon several time.",BaltimoreCounty,gun
7/12/2012,1,F,N,W,M,48,NA,NA,NA,U,U,Baltimore County Police Department,"Tactical Unit assisting execution of search warrant, suspect swung sword at officers striking and damaging a ballistic bunker. Tactical officer fired weapon as suspect was swinging the sword.",BaltimoreCounty,sword
8/13/2012,1,F,Y,W,M,35,NA,NA,NA,U,U,Baltimore County Police Department,"Police received four calls for same suicidial person. Suspect was found with handgun. Officers were attempting to get the suspect to drop his handgun when the suspect raised the gun at the officers. One officer fired his weapon but did not strike the suspect. Shortly afterwards, the suspect shot and killed himself with the gun that he was holding.",BaltimoreCounty,handgun. Suicide.
8/29/2012,1,N,Y,W,M,31,NA,NA,NA,U,U,Baltimore County Police Department,Suspect had been reported as missing and with mental health problems on 8/28. Police received calls from the Beltway Motel for the suspect shooting a rifle from inside his room. Responding officers set up a perimeter around the motel room. The suspect came out of the room holding the rifle and started to walk towards the officers. Two officers fired their weapons.,BaltimoreCounty,rifle
5/11/2013,1,N,Y,W,F,40,NA,NA,NA,U,U,Baltimore County Police Department,Suspect came into backyard and threw an object through a window of a house owned by people who had been stalked by the suspect. The officer arrived and encountered the suspect in the backyard. The officer fired his weapon at the suspect. Police found backpack and gun of the suspect in the yard along with a note indicating that suspect was planning this incident.,BaltimoreCounty,gun
6/5/2013,1,F,N,B,M,57,NA,NA,NA,U,U,Baltimore County Police Department,Police were called to the Colony Motel when a motel employee when the suspect used his scotter to assault her. Officers responded to the location and determined that suspect had an open arrest warrant. Three officers attempted to arrest the suspect and were involved in a struggle with the suspect. The suspect grabbed at one of the officer's gun. The officer yelled that the suspect is grabbing the gun and another officer fired his weapon. Police did find the officer's gun holster was undone. Suspect died at the scene.,BaltimoreCounty,
7/21/2013,1,F,N,W,M,49,NA,NA,NA,U,U,Baltimore County Police Department,Man called and said that his son assaulted him and his wife. Suspect was in the garage of the house with a knife. Officers approached suspect inside the garage and suspect presented the knife and refused to follow commands from the officers. One officer fired his weapon. Suspect died at a local hospital.,BaltimoreCounty,knife
8/13/2013,1,F,N,B,U,U,NA,NA,NA,U,U,Baltimore County Police Department,"Officers responded to a call for a burglary in progress. When officers arrived, three suspects ran from the location. Two suspects ran to a minivan and got inside the vehicle. One officer was attempting to arrest the driver of the van. The driver moved the van and headed towards another officer. Three officers fired their weapons, striking two of the suspects inside the van. Third suspects was later arrested. One of the suspects died at a local hospital.",BaltimoreCounty,
