Date,NumberOfSubjects,Fatal,SubjectArmed,Notes,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,city,year,month,day,fdate,b,l,w,a,tr,AvgAge,VA,F,nshots,sit,other,replica,knife,weapon
2/9/2011,1,F,Y,,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2011,2,9,2/9/2011,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
4/12/2011,1,F,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2011,4,12,4/12/2011,0,1,0,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
5/10/2011,1,F,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2011,5,10,5/10/2011,0,1,0,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
6/4/2011,1,F,Y,,L,M,U,NA,NA,3,H;W;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,2011,6,4,6/4/2011,0,1,0,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
6/26/2011,1,N,N,knife/cutting instrument,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2011,6,26,6/26/2011,0,1,0,0,1,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,TRUE,knife
8/30/2011,1,F,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2011,8,30,8/30/2011,0,1,0,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
9/7/2011,1,N,Y,,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2011,9,7,9/7/2011,0,0,0,0,0,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
1/4/2012,1,F,Y,,W,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2012,1,4,1/4/2012,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
3/19/2012,1,F,N,motorized vehicle,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2012,3,19,3/19/2012,0,0,1,0,1,NA,FALSE,TRUE,NA,misc,TRUE,FALSE,FALSE,other
3/21/2012,1,F,Y,,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2012,3,21,3/21/2012,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
4/19/2012,1,N,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2012,4,19,4/19/2012,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
6/20/2012,1,N,Y,,L,M,U,NA,NA,1,U,M,Albuquerque Police Department,NA,Albuquerque,2012,6,20,6/20/2012,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
8/6/2012,1,N,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2012,8,6,8/6/2012,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
12/17/2012,1,N,N,no hits,L,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2012,12,17,12/17/2012,0,1,0,0,1,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,unarmed
3/5/2013,1,F,Y,,W,M,U,NA,NA,3,H;W;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,2013,3,5,3/5/2013,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
3/19/2013,1,F,Y,,B,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2013,3,19,3/19/2013,1,0,0,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
7/5/2013,1,F,N,knife/cutting instrument,B,M,U,NA,NA,2,W;W,M;F,Albuquerque Police Department,NA,Albuquerque,2013,7,5,7/5/2013,1,0,0,0,1,NA,FALSE,TRUE,NA,misc,FALSE,FALSE,TRUE,knife
7/30/2013,1,N,N,,U,U,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,2013,7,30,7/30/2013,0,0,0,0,0,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,unarmed
9/3/2013,1,N,Y,,U,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2013,9,3,9/3/2013,0,0,0,0,0,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
8/21/2013,1,N,N,,U,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2013,8,21,8/21/2013,0,0,0,0,0,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,unarmed
10/26/2013,1,F,Y,,W,M,U,NA,NA,6,H;H;W;W;W;W,M;F;M;M;M;M,Albuquerque Police Department,NA,Albuquerque,2013,10,26,10/26/2013,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
10/28/2013,1,N,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2013,10,28,10/28/2013,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
11/9/2013,1,N,Y,,U,U,U,NA,NA,4,W;W;H;H,M;M;M;M,Albuquerque Police Department,NA,Albuquerque,2013,11,9,11/9/2013,0,0,0,0,0,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
11/15/2013,1,N,Y,,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2013,11,15,11/15/2013,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
12/1/2013,1,F,N,blunt instrument,W,M,U,NA,NA,3,W;W;H,M;M;M,Albuquerque Police Department,NA,Albuquerque,2013,12,1,12/1/2013,0,0,1,0,1,NA,FALSE,TRUE,NA,misc,TRUE,FALSE,FALSE,other
12/8/2013,1,F,N,blunt instrument,W,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2013,12,8,12/8/2013,0,0,1,0,1,NA,FALSE,TRUE,NA,misc,TRUE,FALSE,FALSE,other
1/9/2014,1,N,N,motorized vehicle,U,U,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2014,1,9,1/9/2014,0,0,0,0,0,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
3/16/2014,1,F,N,knife/cutting instrument,W,M,U,NA,NA,2,H;U,M;M,Albuquerque Police Department,NA,Albuquerque,2014,3,16,3/16/2014,0,0,1,0,1,NA,FALSE,TRUE,NA,misc,FALSE,FALSE,TRUE,knife
3/25/2014,1,F,Y,,U,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2014,3,25,3/25/2014,0,0,0,0,0,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
4/21/2014,1,F,Y,,W,F,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2014,4,21,4/21/2014,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
5/22/2014,1,F,N,knife/cutting instrument,L,M,U,NA,NA,2,W;W,M;M,Albuquerque Police Department,NA,Albuquerque,2014,5,22,5/22/2014,0,1,0,0,1,NA,FALSE,TRUE,NA,misc,FALSE,FALSE,TRUE,knife
5/3/2014,1,F,Y,,B,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2014,5,3,5/3/2014,1,0,0,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
7/22/2014,1,F,Y,,W,M,U,NA,NA,2,W;H,M;M,Albuquerque Police Department,NA,Albuquerque,2014,7,22,7/22/2014,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
12/14/2014,1,N,N,accidental discharge,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2014,12,14,12/14/2014,0,0,0,0,0,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,unarmed
1/3/2015,1,N,Y,,W,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2015,1,3,1/3/2015,0,0,1,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
1/9/2015,1,N,Y,,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2015,1,9,1/9/2015,0,0,0,0,0,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
1/13/2015,1,F,Y,,W,M,U,NA,NA,2,W;H,M;M,Albuquerque Police Department,NA,Albuquerque,2015,1,13,1/13/2015,0,0,1,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
5/25/2015,1,N,U,no hits,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2015,5,25,5/25/2015,0,1,0,0,1,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,U
5/28/2015,1,N,U,no hits,L,M,U,NA,NA,10,W;W;H;W;H;H;W;B;U;H,F;M;M;M;M;M;M;M;M;M,Albuquerque Police Department,NA,Albuquerque,2015,5,28,5/28/2015,0,1,0,0,1,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,U
6/4/2015,1,N,N,motorized vehicle; no hits,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2015,6,4,6/4/2015,0,1,0,0,1,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
7/31/2015,1,F,Y,,L,M,U,NA,NA,2,W;H,M;M,Albuquerque Police Department,NA,Albuquerque,2015,7,31,7/31/2015,0,1,0,0,1,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
9/30/2015,1,N,Y,,L,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2015,9,30,9/30/2015,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
12/22/2015,1,N,Y,,L,M,U,NA,NA,2,W;W,F;M,Albuquerque Police Department,NA,Albuquerque,2015,12,22,12/22/2015,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
1/11/2016,1,N,Y,,L,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2016,1,11,1/11/2016,0,1,0,0,1,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
2/2/2016,1,F,Y,,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2016,2,2,2/2/2016,0,0,0,0,0,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
5/24/2016,1,F,Y,,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2016,5,24,5/24/2016,0,0,0,0,0,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
5/28/2016,1,F,Y,,U,M,U,NA,NA,1,W,M,Albuquerque Police Department,NA,Albuquerque,2016,5,28,5/28/2016,0,0,0,0,0,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
6/15/2016,1,F,Y,,U,M,U,NA,NA,3,W;H;W,M;M;M,Albuquerque Police Department,NA,Albuquerque,2016,6,15,6/15/2016,0,0,0,0,0,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
10/22/2016,1,N,Y,,U,M,U,NA,NA,1,H,M,Albuquerque Police Department,NA,Albuquerque,2016,10,22,10/22/2016,0,0,0,0,0,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
10/10/2015,1,N,N,hits unknown; vehicle,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,2015,10,10,10/10/2015,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
8/21/2015,1,N,N,hits unknown; vehicle,U,U,U,NA,NA,3,U,U,Atlanta Police Department,NA,Atlanta,2015,8,21,8/21/2015,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
8/12/2015,2,N;N,Y,4,U,U,U,NA,4,1,U,U,Atlanta Police Department,NA,Atlanta,2015,8,12,8/12/2015,NA,NA,NA,NA,NA,NA,TRUE,FALSE,4,misc,FALSE,FALSE,FALSE,gun
7/1/2015,1,N,N,hits unknown; vehicle,U,U,U,NA,NA,2,U,U,Atlanta Police Department,NA,Atlanta,2015,7,1,7/1/2015,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
5/7/2015,2,N;N,N;N,hits unknown; vehicle,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,2015,5,7,5/7/2015,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
4/30/2015,1,F,Y,hits unknown,U,U,U,NA,NA,2,U,U,Atlanta Police Department,NA,Atlanta,2015,4,30,4/30/2015,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
4/8/2015,1,N,Y,4,U,U,U,NA,20,2,U,U,Atlanta Police Department,NA,Atlanta,2015,4,8,4/8/2015,NA,NA,NA,NA,NA,NA,TRUE,FALSE,20,misc,FALSE,FALSE,FALSE,gun
10/24/2014,1,N,Y,1,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,2014,10,24,10/24/2014,NA,NA,NA,NA,NA,NA,TRUE,FALSE,1,misc,FALSE,FALSE,FALSE,gun
9/7/2014,1,N,Y,1,U,U,U,NA,3,1,U,U,Atlanta Police Department,NA,Atlanta,2014,9,7,9/7/2014,NA,NA,NA,NA,NA,NA,TRUE,FALSE,3,misc,FALSE,FALSE,FALSE,gun
8/27/2014,1,N,N,1; knife,U,U,U,NA,3,1,U,U,Atlanta Police Department,NA,Atlanta,2014,8,27,8/27/2014,NA,NA,NA,NA,NA,NA,FALSE,FALSE,3,misc,FALSE,FALSE,TRUE,knife
7/10/2014,1,N,N,1; furtive movement,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,2014,7,10,7/10/2014,NA,NA,NA,NA,NA,NA,FALSE,FALSE,1,misc,FALSE,FALSE,FALSE,unarmed
7/3/2014,1,F,N,hits unknown; ax,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,2014,7,3,7/3/2014,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,misc,FALSE,FALSE,TRUE,knife
6/20/2014,1,N,Y,1,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,2014,6,20,6/20/2014,NA,NA,NA,NA,NA,NA,TRUE,FALSE,1,misc,FALSE,FALSE,FALSE,gun
6/16/2014,1,N,N,hits unknown; crowbar,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,2014,6,16,6/16/2014,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
5/21/2014,1,N,N,hits unknown; fake pistol,U,U,U,NA,NA,3,U,U,Atlanta Police Department,NA,Atlanta,2014,5,21,5/21/2014,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,unarmed
5/2/2014,1,N,Y,hits unknown,U,U,U,NA,NA,2,U,U,Atlanta Police Department,NA,Atlanta,2014,5,2,5/2/2014,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
1/23/2014,1,N,Y,hits unknown,U,U,U,NA,NA,1,U,U,Atlanta Police Department,NA,Atlanta,2014,1,23,1/23/2014,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
10/14/2013,1,N,N,1; vehicle,U,U,U,NA,3,1,U,U,Atlanta Police Department,NA,Atlanta,2013,10,14,10/14/2013,NA,NA,NA,NA,NA,NA,FALSE,FALSE,3,misc,TRUE,FALSE,FALSE,other
9/19/2013,1,N,Y,hits unknown,U,U,U,NA,9,1,U,U,Atlanta Police Department,NA,Atlanta,2013,9,19,9/19/2013,NA,NA,NA,NA,NA,NA,TRUE,FALSE,9,misc,FALSE,FALSE,FALSE,gun
9/11/2013,2,N;N,Y,hits unknown,U,U,U,NA,4,1,U,U,Atlanta Police Department,NA,Atlanta,2013,9,11,9/11/2013,NA,NA,NA,NA,NA,NA,TRUE,FALSE,4,misc,FALSE,FALSE,FALSE,gun
6/19/2013,1,N,Y,2,U,U,U,NA,4,1,U,U,Atlanta Police Department,NA,Atlanta,2013,6,19,6/19/2013,NA,NA,NA,NA,NA,NA,TRUE,FALSE,4,misc,FALSE,FALSE,FALSE,gun
5/13/2013,1,F,Y,hits unknown,U,U,U,NA,11,2,U,U,Atlanta Police Department,NA,Atlanta,2013,5,13,5/13/2013,NA,NA,NA,NA,NA,NA,TRUE,TRUE,11,misc,FALSE,FALSE,FALSE,gun
4/4/2013,1,N,N,1; ad,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,2013,4,4,4/4/2013,NA,NA,NA,NA,NA,NA,FALSE,FALSE,1,misc,FALSE,FALSE,FALSE,unarmed
12/18/2012,1,N,Y,1,U,U,U,NA,13,1,U,U,Atlanta Police Department,NA,Atlanta,2012,12,18,12/18/2012,NA,NA,NA,NA,NA,NA,TRUE,FALSE,13,misc,FALSE,FALSE,FALSE,gun
11/8/2012,1,N,Y,2,U,U,U,NA,6,1,U,U,Atlanta Police Department,NA,Atlanta,2012,11,8,11/8/2012,NA,NA,NA,NA,NA,NA,TRUE,FALSE,6,misc,FALSE,FALSE,FALSE,gun
9/5/2012,1,F,Y,3,U,U,U,NA,3,1,U,U,Atlanta Police Department,NA,Atlanta,2012,9,5,9/5/2012,NA,NA,NA,NA,NA,NA,TRUE,TRUE,3,misc,FALSE,FALSE,FALSE,gun
7/13/2012,1,F,Y,3,U,U,U,NA,5,2,U,U,Atlanta Police Department,NA,Atlanta,2012,7,13,7/13/2012,NA,NA,NA,NA,NA,NA,TRUE,TRUE,5,misc,FALSE,FALSE,FALSE,gun
6/27/2012,1,F,N,hits unknown; vehicle,U,U,U,NA,17,3,U,U,Atlanta Police Department,NA,Atlanta,2012,6,27,6/27/2012,NA,NA,NA,NA,NA,NA,FALSE,TRUE,17,misc,TRUE,FALSE,FALSE,other
5/18/2012,1,N,N,2; knife,U,U,U,NA,2,1,U,U,Atlanta Police Department,NA,Atlanta,2012,5,18,5/18/2012,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2,misc,FALSE,FALSE,TRUE,knife
4/30/2012,1,N,Y,hits unknown,U,U,U,NA,2,1,U,U,Atlanta Police Department,NA,Atlanta,2012,4,30,4/30/2012,NA,NA,NA,NA,NA,NA,TRUE,FALSE,2,misc,FALSE,FALSE,FALSE,gun
11/28/2011,1,F,N,hits unknown; knife,U,U,U,NA,16,2,U,U,Atlanta Police Department,NA,Atlanta,2011,11,28,11/28/2011,NA,NA,NA,NA,NA,NA,FALSE,TRUE,16,misc,FALSE,FALSE,TRUE,knife
10/25/2011,1,N,Y,2,U,U,U,NA,10,2,U,U,Atlanta Police Department,NA,Atlanta,2011,10,25,10/25/2011,NA,NA,NA,NA,NA,NA,TRUE,FALSE,10,misc,FALSE,FALSE,FALSE,gun
9/1/2011,1,N,Y,2,U,U,U,NA,2,1,U,U,Atlanta Police Department,NA,Atlanta,2011,9,1,9/1/2011,NA,NA,NA,NA,NA,NA,TRUE,FALSE,2,misc,FALSE,FALSE,FALSE,gun
8/10/2011,1,F,N,5; BB gun,U,U,U,NA,10,1,U,U,Atlanta Police Department,NA,Atlanta,2011,8,10,8/10/2011,NA,NA,NA,NA,NA,NA,FALSE,TRUE,10,misc,FALSE,TRUE,FALSE,replica
6/30/2011,1,F,N,1; asp baton,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,2011,6,30,6/30/2011,NA,NA,NA,NA,NA,NA,FALSE,TRUE,1,misc,FALSE,FALSE,FALSE,unarmed
4/8/2011,1,N,Y,1,U,U,U,NA,14,3,U,U,Atlanta Police Department,NA,Atlanta,2011,4,8,4/8/2011,NA,NA,NA,NA,NA,NA,TRUE,FALSE,14,misc,FALSE,FALSE,FALSE,gun
6/23/2010,1,N,N,Shots grazed; ricichet,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,2010,6,23,6/23/2010,NA,NA,NA,NA,NA,NA,FALSE,FALSE,1,misc,FALSE,FALSE,FALSE,unarmed
4/20/2010,1,F,Y,1,U,U,U,NA,1,3,U,U,Atlanta Police Department,NA,Atlanta,2010,4,20,4/20/2010,NA,NA,NA,NA,NA,NA,TRUE,TRUE,1,misc,FALSE,FALSE,FALSE,gun
2/27/2010,1,N,Y,1,U,U,U,NA,5,NA,U,U,Atlanta Police Department,NA,Atlanta,2010,2,27,2/27/2010,NA,NA,NA,NA,NA,NA,TRUE,FALSE,5,misc,FALSE,FALSE,FALSE,gun
2010,1,N,N,1; Date not specified; ad,U,U,U,NA,1,1,U,U,Atlanta Police Department,NA,Atlanta,2010,NA,NA,1/1/2010,NA,NA,NA,NA,NA,NA,FALSE,FALSE,1,misc,FALSE,FALSE,FALSE,unarmed
9/25/2010,1,F,Y,,W,M,26,Domestic Disturbance,NA,1,H,M,Austin PD,,Austin,2010,9,25,9/25/2010,0,0,1,0,1,26,TRUE,TRUE,NA,dv,FALSE,FALSE,FALSE,gun
10/1/2010,1,F,Y,,L,M,16,Burglary / home invasion,NA,1,W,M,Austin PD,,Austin,2010,10,1,10/1/2010,0,1,0,0,1,16,TRUE,TRUE,NA,robbery,FALSE,FALSE,FALSE,gun
11/2/2010,1,F,Y,,A,M,26,Shots fired / shooting,NA,2,"W,W","M,M",Austin PD,,Austin,2010,11,2,11/2/2010,0,0,0,1,1,26,TRUE,TRUE,NA,shooting,FALSE,FALSE,FALSE,gun
12/23/2010,1,F,N,"Fired, knife",W,M,35,Traffic stop,NA,1,B,M,Austin PD,,Austin,2010,12,23,12/23/2010,0,0,1,0,1,35,FALSE,TRUE,NA,traffic,FALSE,FALSE,TRUE,knife
5/9/2011,1,F,Y,,L,M,30,Shots fired / shooting,NA,1,H,M,Austin PD,,Austin,2011,5,9,5/9/2011,0,1,0,0,1,30,TRUE,TRUE,NA,shooting,FALSE,FALSE,FALSE,gun
5/30/2011,2,F,N,,B;B,M;M,20; 16,"Suspicious activity / patrol, Vehicle",NA,1,W,M,Austin PD,,Austin,2011,5,30,5/30/2011,2,0,0,0,2,18,FALSE,TRUE,NA,suspicious,FALSE,FALSE,FALSE,unarmed
8/15/2011,1,N,Y,No Hits,W,M,21,Robbery,NA,2,"H, W","M, M",Austin PD,,Austin,2011,8,15,8/15/2011,0,0,1,0,1,21,TRUE,FALSE,NA,robbery,FALSE,FALSE,FALSE,gun
